Name,代码,粉丝数
利信达集团 ,(HK:00738),339
浙江玻璃 ,(HK:00739),7
亚洲水泥（中国） ,(HK:00743),82
中国国家文化产业 ,(HK:00745),622
理文化工 ,(HK:00746),46
渖阳公用发展股份 ,(HK:00747),58
兴业太阳能 ,(HK:00750),1265
创维数码 ,(HK:00751),588
笔克远东集团 ,(HK:00752),184
中国国航 ,(HK:00753),407
合生创展集团 ,(HK:00754),376
上海证大 ,(HK:00755),130
中国天溢控股 ,(HK:00756),135
阳光能源 ,(HK:00757),362
JunefieldGroup ,(HK:00758),22
CEC国际控股 ,(HK:00759),218
新天地产集团 ,(HK:00760),14
百营环球资源 ,(HK:00761),7
中国联通 ,(HK:00762),2467
中兴通讯 ,(HK:00763),3667
永恒策略 ,(HK:00764),23
威发国际集团 ,(HK:00765),54
中盈集团控股 ,(HK:00766),14
PacificPlywood ,(HK:00767),57
开明投资 ,(HK:00768),10
中国稀土 ,(HK:00769),178
沪光国际上海发展投资 ,(HK:00770),41
自动系统 ,(HK:00771),35
中国金属再生资源 ,(HK:00773),137
长江生命科技 ,(HK:00775),207
捷丰家居 ,(HK:00776),39
网龙 ,(HK:00777),4079
置富产业信托 ,(HK:00778),99
利标品牌 ,(HK:00787),137
雅天妮 ,(HK:00789),36
锦胜集团（控股） ,(HK:00794),525
光谷联合 ,(HK:00798),56
A8新媒体 ,(HK:00800),996
金卫医疗 ,(HK:00801),586
宏霸数码 ,(HK:00802),32
昌兴国际 ,(HK:00803),33
GlencoreXstrata ,(HK:00805),149
惠理集团 ,(HK:00806),1267
泓富产业信托 ,(HK:00808),84
大成生化科技 ,(HK:00809),268
华保亚洲 ,(HK:00810),73
新华文轩 ,(HK:00811),819
敦沛金融 ,(HK:00812),80
世茂房地产 ,(HK:00813),493
北京京客隆 ,(HK:00814),238
中国白银集团 ,(HK:00815),597
华电福新 ,(HK:00816),759
方兴地产 ,(HK:00817),224
高阳科技 ,(HK:00818),1383
天能动力 ,(HK:00819),520
汇丰中国翔龙基金 ,(HK:00820),44
汇盈控股 ,(HK:00821),70
嘉瑞国际 ,(HK:00822),216
领汇房产基金 ,(HK:00823),492
新世界百货中国 ,(HK:00825),138
天工国际 ,(HK:00826),609
玖源集团 ,(HK:00827),343
王朝酒业 ,(HK:00828),293
神冠控股 ,(HK:00829),283
远东环球 ,(HK:00830),288
利亚零售 ,(HK:00831),71
建业地产 ,(HK:00832),260
华讯 ,(HK:00833),27
康大食品 ,(HK:00834),10
亚洲煤业 ,(HK:00835),28
华润电力 ,(HK:00836),617
谭木匠 ,(HK:00837),1402
亿和控股 ,(HK:00838),231
天大石油管材 ,(HK:00839),246
天业节水 ,(HK:00840),96
木薯资源 ,(HK:00841),123
理士国际 ,(HK:00842),124
广豪国际 ,(HK:00844),44
恒盛地产 ,(HK:00845),189
明发集团 ,(HK:00846),40
哈萨克铜业-S ,(HK:00847),27
茂业国际 ,(HK:00848),560
中亚能源 ,(HK:00850),65
盛源控股 ,(HK:00851),33
海峡石油化工 ,(HK:00852),146
