Name,代码,粉丝数
中科三环 ,(SZ:000970),2686
蓝鼎控股 ,(SZ:000971),485
新中基 ,(SZ:000972),533
佛塑科技 ,(SZ:000973),1867
银泰资源 ,(SZ:000975),672
春晖股份 ,(SZ:000976),233
浪潮信息 ,(SZ:000977),5127
桂林旅游 ,(SZ:000978),693
中弘股份 ,(SZ:000979),1408
金马股份 ,(SZ:000980),517
银亿股份 ,(SZ:000981),238
中银绒业 ,(SZ:000982),888
西山煤电 ,(SZ:000983),1374
大庆华科 ,(SZ:000985),239
广州友谊 ,(SZ:000987),1442
华工科技 ,(SZ:000988),2011
九芝堂 ,(SZ:000989),1419
诚志股份 ,(SZ:000990),559
闽东电力 ,(SZ:000993),276
皇台酒业 ,(SZ:000995),463
中国中期 ,(SZ:000996),1328
新大陆 ,(SZ:000997),6736
隆平高科 ,(SZ:000998),1841
华润三九 ,(SZ:000999),5770
宗申动力 ,(SZ:001696),1682
豫能控股 ,(SZ:001896),400
新和成 ,(SZ:002001),1951
鸿达兴业 ,(SZ:002002),256
伟星股份 ,(SZ:002003),2907
华邦颖泰 ,(SZ:002004),876
德豪润达 ,(SZ:002005),1936
*ST精功 ,(SZ:002006),1183
华兰生物 ,(SZ:002007),4544
大族激光 ,(SZ:002008),6129
天奇股份 ,(SZ:002009),1214
传化股份 ,(SZ:002010),422
盾安环境 ,(SZ:002011),950
凯恩股份 ,(SZ:002012),653
中航机电 ,(SZ:002013),1512
永新股份 ,(SZ:002014),668
*ST霞客 ,(SZ:002015),391
世荣兆业 ,(SZ:002016),433
东信和平 ,(SZ:002017),1456
华星化工 ,(SZ:002018),1075
鑫富药业 ,(SZ:002019),1076
京新药业 ,(SZ:002020),2016
中捷股份 ,(SZ:002021),543
科华生物 ,(SZ:002022),3417
海特高新 ,(SZ:002023),2837
苏宁云商 ,(SZ:002024),133929
航天电器 ,(SZ:002025),1371
山东威达 ,(SZ:002026),640
七喜控股 ,(SZ:002027),595
思源电气 ,(SZ:002028),1577
七匹狼 ,(SZ:002029),3541
达安基因 ,(SZ:002030),8665
巨轮股份 ,(SZ:002031),1204
苏泊尔 ,(SZ:002032),2117
丽江旅游 ,(SZ:002033),1650
美欣达 ,(SZ:002034),489
华帝股份 ,(SZ:002035),1052
宜科科技 ,(SZ:002036),1020
久联发展 ,(SZ:002037),617
双鹭药业 ,(SZ:002038),8882
黔源电力 ,(SZ:002039),1333
南京港 ,(SZ:002040),521
登海种业 ,(SZ:002041),1531
华孚色纺 ,(SZ:002042),725
兔宝宝 ,(SZ:002043),784
江苏三友 ,(SZ:002044),365
国光电器 ,(SZ:002045),701
轴研科技 ,(SZ:002046),917
宝鹰股份 ,(SZ:002047),312
宁波华翔 ,(SZ:002048),2340
同方国芯 ,(SZ:002049),4160
三花股份 ,(SZ:002050),708
中工国际 ,(SZ:002051),754
同洲电子 ,(SZ:002052),2392
云南盐化 ,(SZ:002053),515
德美化工 ,(SZ:002054),359
得润电子 ,(SZ:002055),1763
横店东磁 ,(SZ:002056),1717
中钢天源 ,(SZ:002057),426
威尔泰 ,(SZ:002058),434
云南旅游 ,(SZ:002059),322
粤水电 ,(SZ:002060),773
江山化工 ,(SZ:002061),426
宏润建设 ,(SZ:002062),353
远光软件 ,(SZ:002063),3210
华峰氨纶 ,(SZ:002064),1393
东华软件 ,(SZ:002065),2229
瑞泰科技 ,(SZ:002066),637
景兴纸业 ,(SZ:002067),1316
黑猫股份 ,(SZ:002068),559
獐子岛 ,(SZ:002069),2716
众和股份 ,(SZ:002070),1380
长城影视 ,(SZ:002071),1269
德棉股份 ,(SZ:002072),452
软控股份 ,(SZ:002073),1975
东源电器 ,(SZ:002074),916
沙钢股份 ,(SZ:002075),481
雪莱特 ,(SZ:002076),857
大港股份 ,(SZ:002077),335
太阳纸业 ,(SZ:002078),732
苏州固锝 ,(SZ:002079),2327
中材科技 ,(SZ:002080),1082
金螳螂 ,(SZ:002081),6912
栋梁新材 ,(SZ:002082),353
孚日股份 ,(SZ:002083),731
海鸥卫浴 ,(SZ:002084),467
万丰奥威 ,(SZ:002085),686
东方海洋 ,(SZ:002086),765
新野纺织 ,(SZ:002087),336
鲁阳股份 ,(SZ:002088),318
新海宜 ,(SZ:002089),1154
金智科技 ,(SZ:002090),553
江苏国泰 ,(SZ:002091),1506
中泰化学 ,(SZ:002092),1592
国脉科技 ,(SZ:002093),658
青岛金王 ,(SZ:002094),1496
生意宝 ,(SZ:002095),3293
南岭民爆 ,(SZ:002096),306
山河智能 ,(SZ:002097),1305
浔兴股份 ,(SZ:002098),545
海翔药业 ,(SZ:002099),778
天康生物 ,(SZ:002100),627
广东鸿图 ,(SZ:002101),746
冠福股份 ,(SZ:002102),946
广博股份 ,(SZ:002103),228
恒宝股份 ,(SZ:002104),3682
信隆实业 ,(SZ:002105),438
莱宝高科 ,(SZ:002106),2356
沃华医药 ,(SZ:002107),1142
沧州明珠 ,(SZ:002108),2312
兴化股份 ,(SZ:002109),215
三钢闽光 ,(SZ:002110),212
威海广泰 ,(SZ:002111),752
三变科技 ,(SZ:002112),344
天润控股 ,(SZ:002113),413
罗平锌电 ,(SZ:002114),1266
三维通信 ,(SZ:002115),965
中国海诚 ,(SZ:002116),981
东港股份 ,(SZ:002117),1759
紫鑫药业 ,(SZ:002118),1893
康强电子 ,(SZ:002119),421
新海股份 ,(SZ:002120),872
科陆电子 ,(SZ:002121),1570
天马股份 ,(SZ:002122),737
荣信股份 ,(SZ:002123),1891
天邦股份 ,(SZ:002124),402
湘潭电化 ,(SZ:002125),541
银轮股份 ,(SZ:002126),1834
*ST新民 ,(SZ:002127),372
露天煤业 ,(SZ:002128),562
中环股份 ,(SZ:002129),4683
沃尔核材 ,(SZ:002130),2279
利欧股份 ,(SZ:002131),1049
恒星科技 ,(SZ:002132),685
广宇集团 ,(SZ:002133),277
*ST普林 ,(SZ:002134),268
东南网架 ,(SZ:002135),602
安纳达 ,(SZ:002136),585
实益达 ,(SZ:002137),349
顺络电子 ,(SZ:002138),2756
拓邦股份 ,(SZ:002139),1554
东华科技 ,(SZ:002140),1020
蓉胜超微 ,(SZ:002141),259
宁波银行 ,(SZ:002142),2463
高金食品 ,(SZ:002143),983
宏达高科 ,(SZ:002144),884
中核钛白 ,(SZ:002145),628
荣盛发展 ,(SZ:002146),2240
方圆支承 ,(SZ:002147),669
北纬通信 ,(SZ:002148),2829
西部材料 ,(SZ:002149),673
通润装备 ,(SZ:002150),208
北斗星通 ,(SZ:002151),3731
广电运通 ,(SZ:002152),2773
石基信息 ,(SZ:002153),1413
报喜鸟 ,(SZ:002154),1112
辰州矿业 ,(SZ:002155),950
通富微电 ,(SZ:002156),1320
正邦科技 ,(SZ:002157),677
汉钟精机 ,(SZ:002158),1683
三特索道 ,(SZ:002159),339
*ST常铝 ,(SZ:002160),407
远望谷 ,(SZ:002161),2352
斯米克 ,(SZ:002162),621
*ST三鑫 ,(SZ:002163),1163
*ST东力 ,(SZ:002164),245
红宝丽 ,(SZ:002165),729
莱茵生物 ,(SZ:002166),1390
东方锆业 ,(SZ:002167),1827
深圳惠程 ,(SZ:002168),1305
智光电气 ,(SZ:002169),569
