Code,Name,港股市值
00582,嘉辉化工,42亿
00583,南华早报集团,Error
00585,意马国际,18亿
00586,海螺创业,282亿
00587,华瀚生物制药,99亿
00588,北京北辰实业股份,16亿
00589,宝姿,13亿
00590,六福集团,156亿
00591,中国高精密,Error
00592,BOSSINIINTL,10亿
00593,ALLIEDOVERSEA,18亿
00595,AVCONCEPTHOLD,3亿
00596,浪潮国际,14亿
00598,中国外运,113亿
00599,怡邦行控股,2亿
00600,中国基建投资,6亿
00601,权智（国际）,5亿
00602,佳华百货控股,3亿
00603,中油燃气,55亿
00604,深圳控股,146亿
00605,中国金融投资管理,19亿
00606,中国粮油控股,149亿
00607,汇多利,38亿
00608,达利国际,8亿
00609,天德化工,13亿
00610,WAIKEEHOLD,18亿
00611,中核工业二三国际,11亿
00613,YUGANGINTL,10亿
00616,永义实业,1亿
00617,百利保控股,28亿
00618,方正数码,17亿
00619,南华金融,5亿
00620,UDLHOLDINGS,3亿
00621,坛金矿业,22亿
00622,威华达控股,15亿
00623,中视金桥,26亿
00626,大众金融控股,39亿
00627,佑威国际,7亿
00628,多金控股,11亿
00629,悦达矿业,3亿
00630,隽泰控股,1亿
00631,三一国际,62亿
00632,东方明珠石油,7亿
00633,中国全通,45亿
00635,彩星集团,17亿
00636,嘉里物流,210亿
00637,利记,7亿
00638,建溢集团,4亿
00639,首钢资源,90亿
00640,星谦化工,5亿
00641,立信工业,14亿
00642,PALADINPREF,Error
00643,恒富控股,6亿
00645,安域亚洲,4亿
00646,中国环保科技,5亿
00647,JOYCEBOUTIQUE,7亿
00648,中国仁济医疗,2亿
00650,顺昌集团,2亿
00651,中海船舶,16亿
00653,卓悦控股,29亿
00655,香港华人有限公司,28亿
00656,复星国际,725亿
00657,环科国际,4亿
00658,中国高速传动,78亿
00659,新创建集团,539亿
00660,伟俊矿业集团,7亿
00661,中国大冶有色金属,25亿
00662,亚洲金融,33亿
00663,金山能源,7亿
00665,海通国际,107亿
00668,东原地产,8亿
00669,创科实业,478亿
00670,中国东方航空股份,162亿
00672,众安房产,28亿
00673,中国卫生控股,1亿
00674,文化地标投资,3亿
00675,坚宝国际,2亿
00676,创信国际,8亿
00677,金源米业,7亿
00678,云顶香港,217亿
00679,亚洲联网科技,3亿
00680,南海控股,28亿
00681,中民控股,10亿
00682,超大现代,Error
00683,嘉里建设,411亿
00684,亚伦国际,7亿
00685,世界华文媒体,32亿
00686,金保利新能源,37亿
00687,泰升集团,24亿
00688,中国海外发展,1880亿
00689,长盈集团(控股),7亿
00690,联康生物科技集团,8亿
00691,山水水泥,110亿
00692,中国家居,23亿
00693,陈唱国际,57亿
00694,北京首都机场股份,113亿
00695,东吴水泥,6亿
00696,中国民航信息网络,76亿
00697,SHOUGANGINTL,31亿
00698,通达集团,49亿
00700,腾讯控股,10651亿
00701,CNTGROUP,9亿
00702,中国油气控股,32亿
00703,FUTUREBRIGHT,17亿
00704,和嘉资源,5亿
00705,南亚矿业,3亿
00706,银创控股,9亿
00707,协盛协丰,3亿
00708,新传媒,Error
00709,佐丹奴国际,53亿
00710,精电,17亿
00711,俊和发展集团,13亿
00712,卡姆丹克太阳能,14亿
00713,世界（集团）,3亿
00715,和记港陆,58亿
00716,胜狮货柜,29亿
00717,英皇证券,22亿
00718,百威国际,11亿
00719,山东新华制药股份,6亿
00720,意达利控股,8亿
00723,永保林业,4亿
00724,泰丰国际,4亿
00725,恒都集团,2亿
00726,东南国际集团,8亿
00727,卓越金融,23亿
00728,中国电信,610亿
00729,中聚电池,71亿
00730,SHOUGANGGRAND,4亿
00731,森信纸业集团,5亿
00732,信利国际,90亿
00733,合富辉煌,14亿
00735,中国电力新能源,57亿
00736,中国置业投资,3亿
00737,合和公路基建,119亿
00738,利信达集团,19亿
00743,亚洲水泥(中国),70亿
00745,中国铁联传媒,18亿
00746,理文化工,38亿
00747,沈阳公用发展股份,5亿
