Code,Name,总市值
V,维萨卡,1613亿
WFC,富国银行,2788亿
BRK.A,伯克希尔,3624亿
RF,地区金融,139亿
BK,纽约梅隆,457亿
AXP,美国运通,805亿
CI,信诺,266亿
USB,合众银行,793亿
COF,第一资本,448亿
ALL,好事达,282亿
HIG,哈特福德,174亿
TRV,旅行者财,341亿
MTU,三菱日联,797亿
MFG,瑞穗金融,421亿
SMFG,三井住友,517亿
NMR,野村控股,227亿
SPG,西蒙地产,560亿
AF,道夫金融,12亿
ASBC,联合银行,27亿
FHN,一线国民,30亿
ARR,ARMOUR住,13亿
BX,黑石,194亿
ATLO,艾姆斯,2亿
ZION,锡安银行,54亿
CMA,联信,79亿
ASFI,阿斯塔,1亿
FII,联邦投资,31亿
CINF,辛市金融,83亿
AMNB,美国国家,1亿
BRK.B,伯克希尔,3652亿
ASBCW,联合银行,-
PEP,百事可乐,1426亿
JNJ,强生,2955亿
PFE,辉瑞,1949亿
KO,可口可乐,-
MDT,美敦力,713亿
BMY,施贵宝,974亿
MO,奥驰亚,980亿
COV,柯惠,455亿
UNH,联合健康,947亿
MRK,默沙东,1645亿
AMGN,安进,1251亿
CVS,CVS健保,1026亿
BAX,百特国际,388亿
ABT,雅培,666亿
SBUX,星巴克,622亿
CPB,康宝浓汤,137亿
MCD,麦当劳,881亿
RHHBY,罗氏制药,2589亿
GSK,葛兰素史,1063亿
YUM,百胜餐饮,318亿
GILD,吉利德,1569亿
WAG,沃尔格林,708亿
MDLZ,亿滋,635亿
ESRX,快捷药方,608亿
ATRI,Atrion公,6亿
ARNA,阿里那,8亿
ACHN,艾琪尔顿,13亿
ATEC,ALPHATEC,1亿
ATHN,雅典娜,48亿
AUXL,Auxilium,16亿
ACUR,讴歌制药,2295万
ATRS,安塔尔,3亿
AFAM,阿莫斯特,2亿
AEGR,Aegerion,6亿
ABAX,爱贝斯公,12亿
ARRY,Array生,6亿
AFCE,亚冠企业,Error
AVEO,AVEO制药,3365万
ARIA,阿里阿德,11亿
HLF,康宝莱,35亿
AGN,艾尔建,621亿
