Code,Name,总市值
600565,迪马股份,205亿
600566,济川药业,208亿
600567,山鹰纸业,181亿
600568,中珠控股,122亿
600569,安阳钢铁,119亿
600570,恒生电子,750亿
600571,信雅达,161亿
600572,康恩贝,273亿
600573,惠泉啤酒,34亿
600575,皖江物流,118亿
600576,万好万家,71亿
600577,精达股份,132亿
600578,京能电力,374亿
600579,天华院,59亿
600580,卧龙电气,166亿
600581,八一钢铁,75亿
600582,天地科技,456亿
600583,海油工程,694亿
600584,长电科技,176亿
600585,海螺水泥,1333亿
600586,金晶科技,90亿
600587,新华医疗,221亿
600588,用友网络,552亿
600589,广东榕泰,65亿
600590,泰豪科技,84亿
600591,*ST上航,0
600592,龙溪股份,63亿
600593,大连圣亚,25亿
600594,益佰制药,205亿
600595,中孚实业,154亿
600596,新安股份,93亿
600597,光明乳业,244亿
600598,北大荒,324亿
600599,熊猫金控,60亿
600600,青岛啤酒,623亿
600601,方正科技,256亿
600602,仪电电子,120亿
600603,大洲兴业,27亿
600604,市北高新,125亿
600605,汇通能源,27亿
600606,金丰投资,151亿
600607,上实医药,0
600608,上海科技,36亿
600609,金杯汽车,78亿
600610,*ST中毅,143亿
600611,大众交通,256亿
600612,老凤祥,252亿
600613,神奇制药,124亿
600614,鼎立股份,181亿
600615,丰华股份,45亿
600616,金枫酒业,71亿
600617,国新能源,234亿
600618,氯碱化工,163亿
600619,海立股份,84亿
600620,天宸股份,105亿
600621,华鑫股份,80亿
600622,嘉宝集团,63亿
600623,双钱股份,247亿
600624,复旦复华,72亿
600625,PT水仙,0
600626,申达股份,147亿
600627,上电股份,0
600628,新世界,75亿
600629,棱光实业,119亿
600630,龙头股份,75亿
600631,百联股份,0
600632,华联商厦,0
600633,浙报传媒,305亿
600634,中技控股,92亿
600635,大众公用,243亿
600636,三爱富,74亿
600637,百视通,807亿
600638,新黄浦,106亿
600639,浦东金桥,250亿
600640,号百控股,153亿
600641,万业企业,71亿
600642,申能股份,477亿
600643,爱建股份,220亿
600644,*ST乐电,68亿
600645,中源协和,306亿
600646,ST国嘉,0
600647,同达创业,39亿
600648,外高桥,444亿
600649,城投控股,216亿
600650,锦江投资,120亿
600651,飞乐音响,128亿
600652,游久游戏,158亿
600653,申华控股,111亿
600654,中安消,261亿
600655,豫园商城,277亿
600656,*ST博元,13亿
600657,信达地产,144亿
600658,电子城,98亿
600659,*ST花雕,0
600660,福耀玻璃,395亿
600661,新南洋,111亿
600662,强生控股,180亿
600663,陆家嘴,797亿
600664,哈药股份,212亿
600665,天地源,88亿
600666,西南药业,83亿
600667,太极实业,62亿
600668,尖峰集团,61亿
600669,*ST鞍成,0
600670,*ST斯达,0
600671,天目药业,31亿
600672,*ST华圣,0
600673,东阳光科,230亿
600674,川投能源,570亿
600675,中华企业,181亿
600676,交运股份,130亿
600677,航天通信,75亿
600678,四川金顶,72亿
600679,金山开发,60亿
600680,上海普天,93亿
600681,万鸿集团,25亿
600682,南京新百,201亿
600683,京投银泰,82亿
600684,珠江实业,90亿
600685,广船国际,795亿
600686,金龙汽车,90亿
600687,刚泰控股,162亿
600688,上海石化,933亿
600689,上海三毛,30亿
600690,青岛海尔,852亿
600691,*ST阳化,98亿
600692,亚通股份,58亿
600693,东百集团,62亿
600694,大商股份,169亿
600695,绿庭投资,85亿
600696,多伦股份,45亿
600697,欧亚集团,53亿
600698,湖南天雁,107亿
600699,均胜电子,233亿
600700,*ST数码,0
600701,工大高新,30亿
600702,沱牌舍得,77亿
600703,三安光电,552亿
600704,物产中大,237亿
600705,中航投资,1069亿
600706,曲江文旅,37亿
600707,彩虹股份,110亿
600708,海博股份,85亿
600709,ST生态,0
600710,常林股份,50亿
600711,盛屯矿业,218亿
600712,南宁百货,56亿
600713,南京医药,121亿
600714,金瑞矿业,42亿
600715,*ST松辽,80亿
600716,凤凰股份,125亿
600717,天津港,359亿
600718,东软集团,355亿
600719,大连热电,21亿
600720,祁连山,95亿
600721,百花村,39亿
600722,*ST金化,46亿
600723,首商股份,79亿
600724,宁波富达,114亿
600725,云维股份,49亿
600726,华电能源,130亿
600727,鲁北化工,40亿
600728,佳都科技,161亿
600729,重庆百货,129亿
600730,中国高科,58亿
600731,湖南海利,44亿
600732,上海新梅,43亿
600733,S前锋,93亿
600734,实达集团,30亿
600735,新华锦,66亿
600736,苏州高新,100亿
600737,中粮屯河,297亿
600738,兰州民百,38亿
600739,辽宁成大,474亿
600740,山西焦化,68亿
600741,华域汽车,577亿
600742,一汽富维,80亿
600743,华远地产,126亿
600744,华银电力,50亿
600745,中茵股份,129亿
600746,江苏索普,33亿
600747,大连控股,90亿
600748,上实发展,163亿
600749,西藏旅游,49亿
600750,江中药业,100亿
600751,天津海运,429亿
600752,*ST哈慈,0
600753,东方银星,37亿
600754,锦江股份,275亿
