Name,52周最高,52周最低,总市值,每股净资产,市盈率,总股本,每股收益,市净率,30日均量,流通股本,股息率,市销率
sh600561,12.47,9.00,29.30亿,5.96,21.60/25.44,2.37亿,0.27,2.07,206.98万,2.37亿,1.47%,1.12
sh600562,59.00,23.88,99.48亿,3.08,105.22/74.74,2.57亿,0.22,12.55,613.70万,1.32亿,0.77%,11.44
sh600563,41.10,17.06,82.76亿,7.16,28.91/26.26,2.25亿,0.68,5.14,231.54万,2.25亿,1.92%,5.73
sh600566,27.88,13.35,172.15亿,2.60,42.75/25.48,7.81亿,0.33,8.48,222.40万,1.38亿,-,6.92
sh600567,2.56,1.91,85.13亿,1.57,40.95/27.97,37.67亿,0.03,1.44,3596.14万,15.86亿,0.90%,1.03
sh600568,13.47,7.91,48.49亿,2.88,77.67/172.88,3.66亿,0.03,4.60,1575.57万,3.61亿,0.19%,7.29
sh600569,2.45,1.57,55.53亿,3.03,106.69/7.95,23.94亿,0.02,0.77,1824.21万,23.94亿,-,0.19
sh600570,35.59,17.10,210.55亿,2.68,65.12/58.88,6.18亿,0.18,12.71,932.90万,6.18亿,0.47%,16.96
sh600572,17.35,11.75,138.44亿,3.12,33.17/27.74,8.10亿,0.36,5.48,582.06万,7.01亿,0.94%,4.29
sh600573,8.22,5.51,20.35亿,4.26,99.88/62.02,2.50亿,0.03,1.91,426.76万,2.50亿,0.31%,2.45
sh600576,20.23,6.08,42.62亿,2.26,511.49/167.78,2.18亿,-0.04,8.64,414.47万,2.18亿,-,47.23
sh600577,5.79,3.74,56.41亿,1.74,42.83/40.83,9.78亿,0.12,3.32,805.52万,7.10亿,0.35%,0.57
sh600578,8.63,3.19,173.61亿,3.15,7.90/7.04,46.17亿,0.31,1.19,2846.61万,22.57亿,7.94%,1.75
sh600579,8.96,5.60,34.35亿,1.60,-/104.34,3.92亿,0.02,5.47,501.85万,2.56亿,-,3.10
sh600580,9.55,5.84,99.95亿,3.28,27.46/23.68,11.11亿,0.13,2.74,1116.66万,6.88亿,1.11%,1.58
sh600581,4.91,3.44,33.19亿,3.83,99.42/-,7.66亿,-0.94,1.13,1407.08万,7.66亿,0.35%,0.15
sh600582,11.53,6.21,131.47亿,5.01,15.42/14.94,12.14亿,0.29,2.16,914.72万,12.14亿,0.93%,1.07
sh600583,9.69,6.98,359.90亿,4.06,13.11/9.85,44.21亿,0.39,2.00,4723.49万,38.89亿,1.21%,1.60
sh600584,11.51,5.30,95.47亿,2.89,858.33/239.20,8.53亿,0.06,3.87,2041.45万,8.53亿,0.13%,1.74
sh600585,19.37,14.18,940.63亿,11.32,10.03/7.75,52.99亿,1.10,1.57,2477.77万,40.00亿,1.94%,1.58
sh600586,3.77,2.80,49.65亿,2.93,49.72/68.94,14.23亿,0.03,1.19,2407.86万,9.67亿,-,1.42
sh600587,94.28,28.70,139.70亿,6.41,60.30/49.92,3.98亿,0.79,5.48,548.40万,3.48亿,0.34%,2.81
sh600588,24.70,11.38,190.43亿,2.86,34.76/38.88,11.65亿,0.01,5.72,2333.43万,11.51亿,1.85%,4.31
sh600589,6.49,4.56,34.42亿,3.38,62.99/82.93,6.02亿,0.06,1.69,1149.12万,6.02亿,0.49%,2.84
sh600590,9.16,5.83,44.88亿,4.19,305.84/-,5.00亿,-0.08,2.14,1274.75万,5.00亿,0.22%,1.78
sh600592,10.41,6.72,40.91亿,4.58,80.57/87.22,4.00亿,0.06,2.24,1352.94万,3.70亿,0.99%,5.49
sh600593,18.22,11.96,16.15亿,3.44,49.64/46.56,9200.00万,-0.02,5.10,132.02万,9200.00万,-,5.78
sh600594,44.40,27.41,153.05亿,7.86,35.66/33.07,3.96亿,0.43,4.92,246.97万,3.58亿,0.31%,5.13
sh600595,5.85,3.26,90.39亿,3.19,-/-,17.42亿,0.08,1.63,3738.42万,15.15亿,0.38%,0.84
sh600596,14.94,8.08,69.48亿,6.38,15.96/23.87,6.79亿,0.13,1.60,2280.46万,6.79亿,2.13%,0.98
sh600597,26.10,14.25,207.43亿,3.45,51.09/44.38,12.24亿,0.17,4.91,2077.98万,12.22亿,1.16%,1.12
sh600598,14.66,6.49,160.52亿,3.33,-/28.28,17.78亿,0.56,2.72,1789.18万,17.78亿,-,2.07
sh600599,25.46,8.20,40.19亿,4.15,317.54/421.04,1.66亿,0.18,5.83,1312.97万,1.26亿,-,27.79
sh600600,49.90,37.74,544.85亿,10.97,27.61/27.47,13.51亿,1.04,3.68,297.73万,6.96亿,1.11%,1.81
